title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,phoneFromWebsite
Marie Nails,https://www.google.com/maps/place/Marie+Nails/data=!4m7!3m6!1s0x89c2598dd1015843:0xb32f3a549cb37b06!8m2!3d40.7259857!4d-74.0010689!16s%2Fg%2F1v29cyqg!19sChIJQ1gB0Y1ZwokRBnuznFQ6L7M,http://www.marienails.com/,Data found,,4.0,83,Nail salon,"155 Prince St, New York, NY 10012, United States",+1 646-370-4170,small nail salon in new york city,,310-550-5925
Art Up Nail Studio NYC,https://www.google.com/maps/place/Art+Up+Nail+Studio+NYC/data=!4m7!3m6!1s0x89c25949c2dcbc5f:0xd13053aa98606e75!8m2!3d40.7449717!4d-73.9770424!16s%2Fg%2F11hz7k2gr2!19sChIJX7zcwklZwokRdW5gmKpTMNE,http://www.artupnailstudio.com/,Data found,,4.7,189,Nail salon,"222 E 34th St Studio 24, New York, NY 10016, United States",+1 917-843-1084,small nail salon in new york city,,(917) 843-1084
Serein Nail Boutique,https://www.google.com/maps/place/Serein+Nail+Boutique/data=!4m7!3m6!1s0x89c25921cb649e37:0xd7c265e309750347!8m2!3d40.7616633!4d-73.9906953!16s%2Fg%2F11p64gfbtt!19sChIJN55kyyFZwokRRwN1CeNlwtc,http://www.sereinnewyork.com/,Data found,,4.6,55,Beauty salon,"400 W 47th St, New York, NY 10036, United States",+1 646-750-2938,small nail salon in new york city,contact.serein@gmail.com,201-290-5655
"Glitter & Polish, Nails & Spa","https://www.google.com/maps/place/Glitter+%26+Polish,+Nails+%26+Spa/data=!4m7!3m6!1s0x89c25902d6b0f4fd:0x23c08a3587a7076f!8m2!3d40.751138!4d-73.9715762!16s%2Fg%2F11b6dqldr_!19sChIJ_fSw1gJZwokRbwenhzWKwCM",,No website found,,4.4,82,Nail salon,"248 E 44th St, New York, NY 10017, United States",+1 646-669-7321,small nail salon in new york city,,
Spa Blue,https://www.google.com/maps/place/Spa+Blue/data=!4m7!3m6!1s0x89c259993a857329:0x355857125aabd11b!8m2!3d40.733066!4d-73.9896546!16s%2Fg%2F11d_wvn_n6!19sChIJKXOFOplZwokRG9GrWhJXWDU,https://www.spablueny.com/,Data found,,4.2,162,Nail salon,"125 4th Ave, New York, NY 10003, United States",+1 212-677-2392,small nail salon in new york city,bethgmccrea@gmail.com,212-677-2392
Hana Nails and spa,https://www.google.com/maps/place/Hana+Nails+and+spa/data=!4m7!3m6!1s0x89c259036587965f:0x161de7b48830545e!8m2!3d40.7493825!4d-73.9735447!16s%2Fg%2F1tf03d6z!19sChIJX5aHZQNZwokRXlQwiLTnHRY,,No website found,,4.2,128,Nail salon,"240 E 41st St, New York, NY 10017, United States",+1 212-972-5320,small nail salon in new york city,,
Unimited Nail & Spa,https://www.google.com/maps/place/Unimited+Nail+%26+Spa/data=!4m7!3m6!1s0x89c25936c34facbf:0x663b7fa8faf1fbf1!8m2!3d40.7695645!4d-73.9886224!16s%2Fg%2F11h0b6kd4z!19sChIJv6xPwzZZwokR8fvx-qh_O2Y,,No website found,,4.0,159,Nail salon,"881 10th Ave, New York, NY 10019, United States",+1 917-388-2098,small nail salon in new york city,,
QQ Nails & Spa,https://www.google.com/maps/place/QQ+Nails+%26+Spa/data=!4m7!3m6!1s0x89c259f1138da65d:0x1b1614ab0380c409!8m2!3d40.7545327!4d-73.9693012!16s%2Fg%2F11stxvxsh6!19sChIJXaaNE_FZwokRCcSAA6sUFhs,http://www.qqnailspa.com/,Data found,,4.6,168,Nail salon,"253 E 49th St, New York, NY 10017, United States",+1 646-410-2684,small nail salon in new york city,info@qqnailspa.com,1(516) 226-3631
East m Nail 45,https://www.google.com/maps/place/East+m+Nail+45/data=!4m7!3m6!1s0x89c2591d36203bb7:0x4b0de929b9ab5a3c!8m2!3d40.752168!4d-73.9708311!16s%2Fg%2F1tmgdbm_!19sChIJtzsgNh1ZwokRPFqruSnpDUs,http://eastmnail45.com/,Data found,,4.3,29,Nail salon,"849 2nd Ave, New York, NY 10017, United States",+1 212-949-9404,small nail salon in new york city,,(212)949-9404
Issa Nails Salon,https://www.google.com/maps/place/Issa+Nails+Salon/data=!4m7!3m6!1s0x89c258ef151aec9f:0xc0500551301f96ff!8m2!3d40.7640644!4d-73.9671948!16s%2Fg%2F1pp2tg_ym!19sChIJn-waFe9YwokR_5YfMFEFUMA,,No website found,,4.3,136,Nail salon,"800 Lexington Ave #2FL, New York, NY 10065, United States",+1 646-596-9759,small nail salon in new york city,,
Snow Fairy,https://www.google.com/maps/place/Snow+Fairy/data=!4m7!3m6!1s0x89c258e50643f869:0xbdf1aac1468ad995!8m2!3d40.7608946!4d-73.9686608!16s%2Fg%2F11f3tw2jg3!19sChIJafhDBuVYwokRldmKRsGq8b0,http://www.snowfairynailspa.com/,No data found,,3.8,70,Nail salon,"143 E 57th St, New York, NY 10022, United States",+1 917-261-7711,small nail salon in new york city,,
X nail bar | Nail Salon Manhattan | Nails Koreatown Midtown,https://www.google.com/maps/place/X+nail+bar+%7C+Nail+Salon+Manhattan+%7C+Nails+Koreatown+Midtown/data=!4m7!3m6!1s0x89c259f16814a3f5:0x94c0638c17c7e9e2!8m2!3d40.750325!4d-73.9852653!16s%2Fg%2F11sml3bg_k!19sChIJ9aMUaPFZwokR4unHF4xjwJQ,http://www.xnailsnyc.com/,Data found,,4.0,144,Nail salon,"36 W 36th St., New York, NY 10018, United States",+1 347-575-0387,small nail salon in new york city,nailx2021@gmail.com,(646)781-9011
Elite Nails Spa,https://www.google.com/maps/place/Elite+Nails+Spa/data=!4m7!3m6!1s0x89c25943b6cc5b7b:0x4033c7d083447427!8m2!3d40.7484046!4d-73.9928131!16s%2Fg%2F11p72q3jgy!19sChIJe1vMtkNZwokRJ3REg9DHM0A,https://elitenailspanyc.setmore.com/beta,Data found,,4.3,97,Nail salon,"356 7th Ave Floor 3, New York, NY 10001, United States",+1 917-679-7997,small nail salon in new york city,elitenailspanyc@gmail.com,+1 917 679 7997
Wistaria Nail Spa,https://www.google.com/maps/place/Wistaria+Nail+Spa/data=!4m7!3m6!1s0x89c25996a3f17a7f:0xb14fe0d30d8217a5!8m2!3d40.7339148!4d-74.0001917!16s%2Fg%2F11d_wn2dzx!19sChIJf3rxo5ZZwokRpReCDdPgT7E,,No website found,,4.0,115,Nail salon,"10 Christopher St, New York, NY 10014, United States",+1 917-306-8888,small nail salon in new york city,,
Sizuku Atelier,https://www.google.com/maps/place/Sizuku+Atelier/data=!4m7!3m6!1s0x89c25958c68fafcf:0x8528a94204b5481c!8m2!3d40.74642!4d-73.983174!16s%2Fg%2F11kbh5vkkl!19sChIJz6-PxlhZwokRHEi1BEKpKIU,http://sizukunail.com/,Data found,,4.9,8,Nail salon,"31 E 32nd St RM 501, New York, NY 10016, United States",+1 929-340-1775,small nail salon in new york city,,929-340-1775
Unicorn Nails & Spa,https://www.google.com/maps/place/Unicorn+Nails+%26+Spa/data=!4m7!3m6!1s0x89c2598ba14c069f:0xb83f89f5c9396e47!8m2!3d40.7642422!4d-73.9664696!16s%2Fg%2F11t7vfyf4b!19sChIJnwZMoYtZwokRR245yfWJP7g,https://unicornnailsspa.setmore.com/,Data found,,4.6,47,Nail salon,"809 Lexington Ave 2FL(Bet, 62&63 St, New York, NY 10065, United States",+1 212-380-8895,small nail salon in new york city,,+1 212 380 8895
Ballet Slippers Spa,https://www.google.com/maps/place/Ballet+Slippers+Spa/data=!4m7!3m6!1s0x89c25904173eae31:0x4beffde0a62ce3fc!8m2!3d40.7481977!4d-73.9766175!16s%2Fg%2F1hfbwg6d4!19sChIJMa4-FwRZwokR_OMspuD970s,http://www.balletslippersspa.com/,Data found,,4.4,108,Nail salon,"576 3rd Ave, New York, NY 10016, United States",+1 212-661-0158,small nail salon in new york city,info@balletslippersspa.com,212-661-0158
Amazing Fashion Nail Salon,https://www.google.com/maps/place/Amazing+Fashion+Nail+Salon/data=!4m7!3m6!1s0x89c25963003325b5:0xfba55f42b58bd082!8m2!3d40.7364629!4d-73.9791232!16s%2Fg%2F11kghzkmh3!19sChIJtSUzAGNZwokRgtCLtUJfpfs,,No website found,,4.6,13,Nail salon,"379 1st Ave., New York, NY 10010, United States",+1 212-533-4965,small nail salon in new york city,,
sundays Nontoxic Nail Studio Hudson Yards,https://www.google.com/maps/place/sundays+Nontoxic+Nail+Studio+Hudson+Yards/data=!4m7!3m6!1s0x89c259cf3a77a8dd:0x414ed9727552cd25!8m2!3d40.7536705!4d-74.0003227!16s%2Fg%2F11h5zqsy2v!19sChIJ3ah3Os9ZwokRJc1SdXLZTkE,http://www.dearsundays.com/?utm_source=google&utm_medium=GBP_HY,Data found,,4.1,131,Nail salon,"20 Hudson Yards, 500 W 33rd St 3rd Fl, New York, NY 10001, United States",+1 212-695-7788,small nail salon in new york city,wholesale@dearsundays.com,(212) 695-7788
Galleria Nail Salon,https://www.google.com/maps/place/Galleria+Nail+Salon/data=!4m7!3m6!1s0x89c259764e1ed561:0x85cdbc6c885c99d!8m2!3d40.7279172!4d-73.9808298!16s%2Fg%2F1tl7pmtd!19sChIJYdUeTnZZwokRncmFyMbbXAg,,No website found,,4.2,105,Nail salon,"520 E 11th St, New York, NY 10009, United States",+1 212-387-8490,small nail salon in new york city,,
QQ Nails & Spa,https://www.google.com/maps/place/QQ+Nails+%26+Spa/data=!4m7!3m6!1s0x89c25975bb3dfe0b:0x6a74a294a6d39d6b!8m2!3d40.7585475!4d-73.991228!16s%2Fg%2F11lcsv6p4n!19sChIJC_49u3VZwokRa53TppSidGo,https://www.qqnailspa.com/,Data found,,4.6,137,Nail salon,"350 West 43rd St, New York, NY 10036, United States",+1 212-871-0399,small nail salon in new york city,info@qqnailspa.com,1(516) 226-3631
Astone Nail Lounge,https://www.google.com/maps/place/Astone+Nail+Lounge/data=!4m7!3m6!1s0x89c2598d10cd4269:0x75a99da1e2caf02!8m2!3d40.739638!4d-73.980547!16s%2Fg%2F11gjz09163!19sChIJaULNEI1ZwokRAq8sHtqZWgc,https://salons-spa.wixsite.com/astonenaillounge,Data found,,4.0,73,Nail salon,"235 E 25th St, New York, NY 10010, United States",+1 718-775-7633,small nail salon in new york city,info@mysite.com,(718) 775-7633
Chillhouse Soho Flagship,https://www.google.com/maps/place/Chillhouse+Soho+Flagship/data=!4m7!3m6!1s0x89c259869fb9ff57:0xf4e5952e11ebf48!8m2!3d40.7234621!4d-74.0068304!16s%2Fg%2F11h7q6tlsy!19sChIJV_-5n4ZZwokRSL8e4VJZTg8,http://chillhouse.com/,No data found,,3.9,209,Spa,"75 Varick St, New York, NY 10013, United States",+1 347-537-5742,small nail salon in new york city,,
Bloomie Nails Spa,https://www.google.com/maps/place/Bloomie+Nails+Spa/data=!4m7!3m6!1s0x89c259bbc10bbf89:0x7f168b1f3fd19164!8m2!3d40.744187!4d-73.9995171!16s%2Fg%2F1v76_l82!19sChIJib8LwbtZwokRZJHRPx-LFn8,https://bloomienails21.com/,Data found,,3.6,82,Nail salon,"219 8th Ave, New York, NY 10011, United States",+1 212-366-6199,small nail salon in new york city,benxu1970@yahoo.com,(212) 366-6199
BISOU -NAIL ART ATELIER-,https://www.google.com/maps/place/BISOU+-NAIL+ART+ATELIER-/data=!4m7!3m6!1s0x89c259861f24fc6b:0xfafee3457373bf5c!8m2!3d40.7210195!4d-73.9944476!16s%2Fg%2F11c59xcyt6!19sChIJa_wkH4ZZwokRXL9zc0Xj_vo,http://www.bisouny.com/,No data found,,4.5,86,Nail salon,"6 Spring St, New York, NY 10012, United States",+1 347-330-3477,small nail salon in new york city,,
READY READY Instant Nails NYC,https://www.google.com/maps/place/READY+READY+Instant+Nails+NYC/data=!4m7!3m6!1s0x89c259e9079acaeb:0xcf57ae0c3e4ce02!8m2!3d40.7223632!4d-73.9952829!16s%2Fg%2F11vxm3kck_!19sChIJ68qaB-lZwokRAs7kw-B69Qw,http://www.pressonnail.nyc/,No data found,,5.0,6,Nail salon,"223 Mott St, New York, NY 10012, United States",+1 718-905-7700,small nail salon in new york city,,
"Top Pretty A Nail & Spa Salon| Manicure, Pedicure, UV Gel, SNS, Gel-x","https://www.google.com/maps/place/Top+Pretty+A+Nail+%26+Spa+Salon%7C+Manicure,+Pedicure,+UV+Gel,+SNS,+Gel-x/data=!4m7!3m6!1s0x89c259b4dfee1aeb:0x9024182a24d1c88e!8m2!3d40.725635!4d-73.9875537!16s%2Fg%2F11t105tj44!19sChIJ6xru37RZwokRjsjRJCoYJJA",https://www.topprettyanailspa.com/,Data found,,4.0,90,Nail salon,"125 E 4th St Apt 1, New York, NY 10003, United States",+1 917-388-2589,small nail salon in new york city,,917-388-2589
Lulu's Nails,https://www.google.com/maps/place/Lulu%27s+Nails/data=!4m7!3m6!1s0x89c2599d1c6f7377:0xf2e9520f10fee22a!8m2!3d40.7274668!4d-73.9856996!16s%2Fg%2F1t_khfy4!19sChIJd3NvHJ1ZwokRKuL-EA9S6fI,http://instagram.com/bestlulusnails,No data found,,3.8,73,Nail salon,"129 1st Ave., New York, NY 10003, United States",+1 212-982-5030,small nail salon in new york city,,
Golden Tree Nails & Spa,https://www.google.com/maps/place/Golden+Tree+Nails+%26+Spa/data=!4m7!3m6!1s0x89c2599f0ec20207:0xdd5cd1f9fe3ade3c!8m2!3d40.7340168!4d-73.9864242!16s%2Fg%2F1td72xyn!19sChIJBwLCDp9ZwokRPN46_vnRXN0,,No website found,,3.7,140,Nail salon,"149 3rd Ave, New York, NY 10003, United States",+1 212-228-9999,small nail salon in new york city,,
Nails Spa & Beyond,https://www.google.com/maps/place/Nails+Spa+%26+Beyond/data=!4m7!3m6!1s0x89c25906b23886dd:0x22ec390db8ec6d5c!8m2!3d40.7497309!4d-73.9769759!16s%2Fg%2F1tdq210y!19sChIJ3YY4sgZZwokRXG3suA057CI,https://www.fresha.com/book-now/nails-spa-beyond-u8kvo2ca/all-offer?id=776176&pId=729317,No data found,,3.7,120,Nail salon,"343 Lexington Ave, New York, NY 10016, United States",+1 212-213-8923,small nail salon in new york city,,
Sona Nails,https://www.google.com/maps/place/Sona+Nails/data=!4m7!3m6!1s0x89c2590b178324f1:0x37e683599c58e331!8m2!3d40.7362117!4d-73.9792522!16s%2Fg%2F1xgrnvv8!19sChIJ8SSDFwtZwokRMeNYnFmD5jc,,No website found,,4.4,74,Nail salon,"375 1st Ave., New York, NY 10010, United States",+1 917-261-5347,small nail salon in new york city,,
Nail WAH,https://www.google.com/maps/place/Nail+WAH/data=!4m7!3m6!1s0x89c2598c4533d54b:0x9cd66d7ffb3fdb85!8m2!3d40.7598122!4d-73.9836123!16s%2Fg%2F11jnmtp34b!19sChIJS9UzRYxZwokRhds_-39t1pw,https://www.vagaro.com/nailwah,Data found,,4.7,144,Nail salon,"165 W 48th St 2nd Floor, New York, NY 10036, United States",+1 917-628-3373,small nail salon in new york city,,(917) 628-3373
QQ Nails & Spa,https://www.google.com/maps/place/QQ+Nails+%26+Spa/data=!4m7!3m6!1s0x89c259ba4b2ee49d:0x85d757b20d67de44!8m2!3d40.7449972!4d-73.9989361!16s%2Fg%2F1tdmqztx!19sChIJneQuS7pZwokRRN5nDbJX14U,http://qqnailspa.com/,Data found,,4.2,185,Nail salon,"249 8th Ave, New York, NY 10011, United States",+1 212-807-0268,small nail salon in new york city,info@qqnailspa.com,1(516) 226-3631
Wistaria Nail Spa II,https://www.google.com/maps/place/Wistaria+Nail+Spa+II/data=!4m7!3m6!1s0x8fe0c99a89afc92d:0xd0d3a647575bc4cb!8m2!3d40.7673896!4d-73.9848899!16s%2Fg%2F11p5nrsg8_!19sChIJLcmviZrJ4I8Ry8RbV0em09A,,No website found,,4.3,43,Nail salon,"344 W 57th St, New York, NY 10019, United States",+1 646-609-6000,small nail salon in new york city,,
800 Miss Nails,https://www.google.com/maps/place/800+Miss+Nails/data=!4m7!3m6!1s0x89c2592f8ac43d57:0xedea6541de4857c!8m2!3d40.7499108!4d-73.9717539!16s%2Fg%2F11s86dxr5m!19sChIJVz3Eii9ZwokRfIXkHVSm3g4,https://800missnails.com/,Data found,,4.6,28,Nail salon,"800 2nd Ave, New York, NY 10017, United States",+1 646-476-6907,small nail salon in new york city,,(646)476-6907
Glitz Nails,https://www.google.com/maps/place/Glitz+Nails/data=!4m7!3m6!1s0x89c25976ea815f91:0xf7fbe0cd1aea246a!8m2!3d40.7282586!4d-73.9787117!16s%2Fg%2F11b7fz0fsx!19sChIJkV-B6nZZwokRaiTqGs3g-_c,,No website found,,3.6,155,Nail salon,"199 Avenue B, New York, NY 10009, United States",+1 212-982-8239,small nail salon in new york city,,
109 Nails,https://www.google.com/maps/place/109+Nails/data=!4m7!3m6!1s0x89c259cce66c3e1b:0xa168e1f50409e4f2!8m2!3d40.7183961!4d-73.9856051!16s%2Fg%2F11rycs2n0z!19sChIJGz5s5sxZwokR8uQJBPXhaKE,http://instagram.com/109NailsSalon,No data found,,4.8,660,Nail salon,"99 Clinton St Frnt 1, New York, NY 10002, United States",+1 646-705-6216,small nail salon in new york city,,
M & W Nail Salon,https://www.google.com/maps/place/M+%26+W+Nail+Salon/data=!4m7!3m6!1s0x89c25979b23feeef:0x9623c9ba1b447913!8m2!3d40.7231984!4d-73.9797026!16s%2Fg%2F11bwh4mhdk!19sChIJ7-4_snlZwokRE3lEG7rJI5Y,https://mandwnail.com/,Data found,,3.8,140,Nail salon,"77 Loisaida Ave, New York, NY 10009, United States",+1 212-387-9470,small nail salon in new york city,,(212) 387-9470
Flaire Nails,https://www.google.com/maps/place/Flaire+Nails/data=!4m7!3m6!1s0x89c258e87fdb458b:0xc6d0c9938e3920c9!8m2!3d40.7621086!4d-73.9623585!16s%2Fg%2F1tj92gbp!19sChIJi0Xbf-hYwokRySA5jpPJ0MY,,No website found,,4.7,151,Nail salon,"304 E 62nd St #4, New York, NY 10065, United States",+1 212-319-6828,small nail salon in new york city,,
Beauty Cutie Nail & Spa,https://www.google.com/maps/place/Beauty+Cutie+Nail+%26+Spa/data=!4m7!3m6!1s0x89c2599e5b0a7ed7:0xf1d14eaa93b556af!8m2!3d40.7296685!4d-73.9793987!16s%2Fg%2F11c6f01stl!19sChIJ134KW55ZwokRr1a1k6pO0fE,https://spabeauty888.wixsite.com/beautycutienailsspa/cutie-nails-spa-2,Data found,,3.9,101,Nail salon,"520 E 14th St, New York, NY 10009, United States",+1 718-666-9279,small nail salon in new york city,,(718) 666-9279
QQ Nails & Spa,https://www.google.com/maps/place/QQ+Nails+%26+Spa/data=!4m7!3m6!1s0x89c259e5a309c72d:0xb89e9a7ffad357a2!8m2!3d40.7434926!4d-73.9957434!16s%2Fg%2F11jj0132xl!19sChIJLccJo-VZwokRolfT-n-anrg,https://www.qqnailspa.com/,Data found,,4.3,167,Nail salon,"213 7th Ave, New York, NY 10011, United States",+1 646-609-3069,small nail salon in new york city,info@qqnailspa.com,1(516) 226-3631
Hong Nail Spa,https://www.google.com/maps/place/Hong+Nail+Spa/data=!4m7!3m6!1s0x89c259a3dc2ffdd5:0x9a2f50a3c33ba44d!8m2!3d40.7398164!4d-73.9892233!16s%2Fg%2F1wbg09_n!19sChIJ1f0v3KNZwokRTaQ7w6NQL5o,http://www.hongnailspa.com/,Data found,,3.4,93,Nail salon,"15 E 21st St, New York, NY 10010, United States",+1 212-254-8100,small nail salon in new york city,hongnail803@gmail.com,+1 212-254-8100
Lilac Nail Salon,https://www.google.com/maps/place/Lilac+Nail+Salon/data=!4m7!3m6!1s0x89c2585886360407:0xbc82d15305a51445!8m2!3d40.7678121!4d-73.9836606!16s%2Fg%2F11fx9_7y3h!19sChIJBwQ2hlhYwokRRRSlBVPRgrw,,No website found,,3.9,113,Nail salon,"330 W 58th St, New York, NY 10019, United States",+1 646-964-4566,small nail salon in new york city,,
New Think Pink Nail & Spa,https://www.google.com/maps/place/New+Think+Pink+Nail+%26+Spa/data=!4m7!3m6!1s0x89c25996f5d55e83:0x35664cf664af8c2f!8m2!3d40.735007!4d-73.998788!16s%2Fg%2F1w0j52yd!19sChIJg17V9ZZZwokRL4yvZPZMZjU,https://newthinkpinknailss.wixsite.com/website-20,Data found,,3.7,35,Nail salon,"445 6th Ave, New York, NY 10011, United States",+1 212-366-5111,small nail salon in new york city,8c4075d5481d476e945486754f783364@sentry.io,212.366.5111
Krystal Oh Nails,https://www.google.com/maps/place/Krystal+Oh+Nails/data=!4m7!3m6!1s0x89c259dc539d1e83:0x3e6a1d2d34b97588!8m2!3d40.7475622!4d-73.9963699!16s%2Fg%2F11st8nzvny!19sChIJgx6dU9xZwokRiHW5NC0daj4,http://www.krystalohnails.com/,Data found,,4.1,239,Nail salon,"256 W 27th St, New York, NY 10001, United States",+1 646-385-4334,small nail salon in new york city,info@krystalohnails.com,646-385-4334
QQ Nails & Spa,https://www.google.com/maps/place/QQ+Nails+%26+Spa/data=!4m7!3m6!1s0x89c2595492fa682d:0xddb8612e1a6fd712!8m2!3d40.7364944!4d-73.9979335!16s%2Fg%2F11sx6j7x5_!19sChIJLWj6klRZwokREtdvGi5huN0,https://www.qqnailspa.com/,Data found,,4.4,120,Nail salon,"491 6th Ave, New York, NY 10011, United States",+1 646-998-4402,small nail salon in new york city,info@qqnailspa.com,1(516) 226-3631
Nails by mi,https://www.google.com/maps/place/Nails+by+mi/data=!4m7!3m6!1s0x89c259fc3c16ac25:0x1708bc4ec10b6d08!8m2!3d40.7209126!4d-73.9843118!16s%2Fg%2F11pfx7l_3m!19sChIJJawWPPxZwokRCG0LwU68CBc,http://nailsbymi.com/,Data found,,4.7,65,Nail salon,"15 Clinton St, New York, NY 10002, United States",+1 646-609-4686,small nail salon in new york city,,(646) 609-4686
Spoiled Diva Nail Bar,https://www.google.com/maps/place/Spoiled+Diva+Nail+Bar/data=!4m7!3m6!1s0x89c259a0306c5087:0x6e45322dedb9c549!8m2!3d40.7363123!4d-73.9851945!16s%2Fg%2F1260p3j92!19sChIJh1BsMKBZwokRScW57S0yRW4,https://spabeauty888.wixsite.com/spoileddivanailbar,Data found,,3.6,35,Nail salon,"220 3rd Ave, New York, NY 10003, United States",+1 212-677-8858,small nail salon in new york city,,212. 677. 8858
Jin Soon Natural Hand-Foot Spa,https://www.google.com/maps/place/Jin+Soon+Natural+Hand-Foot+Spa/data=!4m7!3m6!1s0x89c2599397c69219:0xee6e8ef6fe8ba1c1!8m2!3d40.732141!4d-74.002789!16s%2Fg%2F1v8gcz63!19sChIJGZLGl5NZwokRwaGL_vaObu4,http://www.jinsoon.com/,No data found,,3.9,42,Nail salon,"23 Jones St # 1 # 1, New York, NY 10014, United States",+1 212-229-1070,small nail salon in new york city,,
Village Four Nail & Spa,https://www.google.com/maps/place/Village+Four+Nail+%26+Spa/data=!4m7!3m6!1s0x89c25993e3a51a9b:0x1d867f29264e01c2!8m2!3d40.7313033!4d-74.0032381!16s%2Fg%2F12qgh7k5k!19sChIJmxql45NZwokRwgFOJil_hh0,https://village4nail.com/services,No data found,,3.9,167,Nail salon,"268 Bleecker St, New York, NY 10014, United States",+1 646-870-0400,small nail salon in new york city,,
Plie Nail Studio,https://www.google.com/maps/place/Plie+Nail+Studio/data=!4m7!3m6!1s0x89c2593726595d01:0xff8c7daa5a978614!8m2!3d40.762115!4d-73.987945!16s%2Fg%2F11rnpb2jj8!19sChIJAV1ZJjdZwokRFIaXWqp9jP8,https://www.plienailstudio.com/,Data found,,4.1,67,Nail salon,"322 W 49th St, New York, NY 10019, United States",+1 646-370-4660,small nail salon in new york city,,646.370.4660
Minty Nail Salon,https://www.google.com/maps/place/Minty+Nail+Salon/data=!4m7!3m6!1s0x89c2599e8979e8b3:0x8161ae723e8ab0a7!8m2!3d40.7318382!4d-73.9863708!16s%2Fg%2F11c54cvyjz!19sChIJs-h5iZ5ZwokRp7CKPnKuYYE,http://mintynailsalon.com/,Data found,,3.6,66,Nail salon,"244 E 13th St, New York, NY 10003, United States",+1 646-964-4116,small nail salon in new york city,restaurant@berg.com,646.964.4116
Urban Nail Salon,https://www.google.com/maps/place/Urban+Nail+Salon/data=!4m7!3m6!1s0x89c258e376941193:0x3778e3081032db51!8m2!3d40.7571491!4d-73.9685481!16s%2Fg%2F1tgzc7v7!19sChIJkxGUduNYwokRUdsyEAjjeDc,https://www.urbannailsalonnyc.com/,Data found,,3.9,109,Nail salon,"222 E 53rd St #2, New York, NY 10022, United States",+1 212-588-1938,small nail salon in new york city,,(212) 588-1938
Our Nail & Spa,https://www.google.com/maps/place/Our+Nail+%26+Spa/data=!4m7!3m6!1s0x89c2592c949ddb8b:0x58e4f0a10731e8cf!8m2!3d40.7503438!4d-73.9982149!16s%2Fg%2F11rx_w1jn9!19sChIJi9udlCxZwokRz-gxB6Hw5Fg,https://snailzapp.com/our-nail-spa,Data found,,3.9,69,Nail salon,"336 9th Ave, New York, NY 10001, United States",+1 646-861-3561,small nail salon in new york city,info@snailzapp.com,
Mumu Nail Salon,https://www.google.com/maps/place/Mumu+Nail+Salon/data=!4m7!3m6!1s0x89c2599a3f676b8f:0x58fbc98e20f5413f!8m2!3d40.7305539!4d-73.9930526!16s%2Fg%2F11g9n0h8fd!19sChIJj2tnP5pZwokRP0H1II7J-1g,,No website found,,3.6,60,Nail salon,"60 E 8th St, New York, NY 10003, United States",+1 212-353-2000,small nail salon in new york city,,
Da Moa Nail Salon Inc.,https://www.google.com/maps/place/Da+Moa+Nail+Salon+Inc./data=!4m7!3m6!1s0x89c259a1536d23a1:0x2faa20841083bb9c!8m2!3d40.7391639!4d-73.98831!16s%2Fg%2F1wn34l7s!19sChIJoSNtU6FZwokRnLuDEIQgqi8,https://www.bellagiosalonspanyc.com/,Data found,,3.8,60,Nail salon,"42 E 21st St, New York, NY 10010, United States",+1 212-505-6100,small nail salon in new york city,8c4075d5481d476e945486754f783364@sentry.io,212-505-6100
Queen Jane Nail Salon,https://www.google.com/maps/place/Queen+Jane+Nail+Salon/data=!4m7!3m6!1s0x89c2590a56004bd3:0x803205daf5ff6dba!8m2!3d40.7375636!4d-73.9795557!16s%2Fg%2F1th0z88s!19sChIJ00sAVgpZwokRum3_9doFMoA,,No website found,,3.3,47,Nail salon,"311 E 23rd St, New York, NY 10003, United States",+1 212-684-8585,small nail salon in new york city,,
NY Lovely Nails & Spa,https://www.google.com/maps/place/NY+Lovely+Nails+%26+Spa/data=!4m7!3m6!1s0x89c259bbb84bd6a7:0x4c4112399f19428c!8m2!3d40.7443018!4d-73.9989117!16s%2Fg%2F12hyy80f7!19sChIJp9ZLuLtZwokRjEIZnzkSQUw,https://www.nylovelynailsspa.com/,Data found,,3.6,81,Nail salon,"228 8th Ave, New York, NY 10011, United States",+1 212-858-8800,small nail salon in new york city,zhanying1188@icloud.com,(212) 858-8800
Symbelle Beauty,https://www.google.com/maps/place/Symbelle+Beauty/data=!4m7!3m6!1s0x89c259d42380d749:0x5021023649ae68e4!8m2!3d40.7632788!4d-73.9655649!16s%2Fg%2F11hzy8rl_x!19sChIJSdeAI9RZwokR5GiuSTYCIVA,http://www.symbellespa.com/,Data found,,4.2,42,Nail salon,"1044 3rd Ave, New York, NY 10065, United States",+1 212-752-6663,small nail salon in new york city,,+1  (212) 752-6663
e nail-14th St,https://www.google.com/maps/place/e+nail-14th+St/data=!4m7!3m6!1s0x89c25977ca3ac191:0xcc96197600017c3b!8m2!3d40.7380309!4d-73.9990756!16s%2Fg%2F11qm3762sg!19sChIJkcE6yndZwokRO3wBAHYZlsw,https://beautyspa888.wixsite.com/enail/enail14thst,Data found,,4.0,109,Nail salon,"144 W 14th St, New York, NY 10011, United States",+1 646-787-7099,small nail salon in new york city,8c4075d5481d476e945486754f783364@sentry.io,646-787-7099
